mm_id,tag_id,mm_kind,pole,x,y
636,0,1,2,16705.558,96149.583
637,0,1,2,16705.742,96148.6
638,0,1,2,16705.926,96147.618
639,0,1,2,16706.111,96146.635
640,0,1,2,16706.295,96145.652
641,0,1,2,16706.479,96144.67
642,0,1,2,16706.664,96143.687
643,0,1,2,16706.848,96142.705
644,0,1,2,16707.032,96141.722
645,0,1,2,16707.217,96140.739
646,0,1,2,16707.401,96139.757
647,0,1,2,16707.585,96138.774
648,0,1,2,16707.769,96137.791
649,0,1,2,16707.954,96136.809
650,0,1,2,16708.138,96135.826
651,0,1,2,16708.322,96134.843
652,0,1,2,16708.507,96133.861
653,0,1,2,16708.691,96132.878
654,0,1,2,16708.875,96131.895
655,0,1,2,16709.06,96130.913
656,0,1,2,16709.244,96129.93
657,0,1,2,16709.428,96128.948
658,0,1,2,16709.612,96127.965
659,0,1,2,16709.797,96126.982
660,0,1,2,16709.981,96126
661,0,1,2,16710.165,96125.017
662,0,1,2,16710.35,96124.034
663,0,1,2,16710.534,96123.052
664,0,1,2,16710.718,96122.069
665,0,1,2,16710.903,96121.086
666,0,1,2,16711.087,96120.104
667,0,1,2,16711.271,96119.121
668,0,1,2,16711.455,96118.138
669,0,1,2,16711.64,96117.156
670,0,1,2,16711.824,96116.173
671,0,1,2,16712.008,96115.19
672,0,1,2,16712.193,96114.208
673,0,1,2,16712.377,96113.225
674,0,1,2,16712.561,96112.242
675,0,1,2,16712.746,96111.26
676,0,1,2,16712.93,96110.277
677,0,1,2,16713.114,96109.295
678,0,1,2,16713.298,96108.312
679,0,1,2,16713.483,96107.329
680,0,1,2,16713.667,96106.347
681,0,1,2,16713.851,96105.364
682,0,1,2,16714.036,96104.381
683,0,1,2,16714.22,96103.399
684,0,1,2,16714.404,96102.416
685,0,1,2,16714.589,96101.433
686,0,1,2,16714.773,96100.451
687,0,1,2,16714.957,96099.468
688,0,1,2,16715.142,96098.485
689,0,1,2,16715.326,96097.503
690,0,1,2,16715.51,96096.52
691,0,1,2,16715.694,96095.538
692,0,1,2,16715.879,96094.555
693,0,1,2,16716.063,96093.572
694,0,1,2,16716.247,96092.59
695,0,1,2,16716.432,96091.607
696,0,1,2,16716.616,96090.624
697,0,1,2,16716.8,96089.642
698,0,1,2,16716.985,96088.659
699,0,1,2,16717.169,96087.676
700,0,1,2,16717.353,96086.694
701,0,1,2,16717.537,96085.711
702,0,1,2,16717.722,96084.728
703,0,1,2,16717.906,96083.746
704,0,1,2,16718.09,96082.763
705,0,1,2,16718.275,96081.78
706,0,1,2,16718.459,96080.798
707,0,1,2,16718.643,96079.815
708,0,1,2,16718.827,96078.833
709,0,1,2,16719.012,96077.85
710,0,1,2,16719.196,96076.867
711,0,1,2,16719.38,96075.885
712,0,1,2,16719.565,96074.902
713,0,1,2,16719.749,96073.919
714,0,1,2,16719.933,96072.937
715,0,1,2,16720.118,96071.954
716,0,1,2,16720.302,96070.971
717,0,1,2,16720.486,96069.989
718,0,1,2,16720.67,96069.006
719,0,1,2,16720.855,96068.023
720,0,1,2,16721.039,96067.041
721,0,1,2,16721.223,96066.058
722,0,1,2,16721.408,96065.076
723,0,1,2,16721.592,96064.093
724,0,1,2,16721.776,96063.11
725,0,1,2,16721.961,96062.128
726,0,1,2,16722.145,96061.145
727,0,1,2,16722.329,96060.162
728,0,1,2,16722.513,96059.18
729,0,1,2,16722.698,96058.197
730,0,1,2,16722.882,96057.214
731,0,1,2,16723.066,96056.232
732,0,1,2,16723.251,96055.249
733,0,1,2,16723.435,96054.266
734,0,1,2,16723.62,96053.284
735,0,1,2,16723.806,96052.302
736,0,1,2,16723.991,96051.319
737,0,1,2,16724.176,96050.337
738,0,1,2,16724.361,96049.354
739,0,1,2,16724.549,96048.372
740,0,1,2,16724.739,96047.391
741,0,1,2,16724.93,96046.409
742,0,1,2,16725.121,96045.428
743,0,1,2,16725.311,96044.446
744,0,1,2,16725.502,96043.465
745,0,1,2,16725.698,96042.484
746,0,1,2,16725.899,96041.505
747,0,1,2,16726.101,96040.526
748,0,1,2,16726.302,96039.547
749,0,1,2,16726.503,96038.567
750,0,1,2,16726.705,96037.588
751,0,1,2,16726.916,96036.611
752,0,1,2,16727.133,96035.635
753,0,1,2,16727.351,96034.659
754,0,1,2,16727.568,96033.683
755,0,1,2,16727.785,96032.707
756,0,1,2,16728.003,96031.732
757,0,1,2,16728.235,96030.759
758,0,1,2,16728.473,96029.788
759,0,1,2,16728.712,96028.817
760,0,1,2,16728.951,96027.846
761,0,1,2,16729.19,96026.876
762,0,1,2,16729.429,96025.905
763,0,1,2,16729.687,96024.939
764,0,1,2,16729.953,96023.975
765,0,1,2,16730.218,96023.011
766,0,1,2,16730.483,96022.047
767,0,1,2,16730.749,96021.083
768,0,1,2,16731.014,96020.12
769,0,1,2,16731.294,96019.16
770,0,1,2,16731.587,96018.204
771,0,1,2,16731.883,96017.249
772,0,1,2,16732.178,96016.294
773,0,1,2,16732.476,96015.339
774,0,1,2,16732.796,96014.392
775,0,1,2,16733.116,96013.445
776,0,1,2,16733.436,96012.498
777,0,1,2,16733.756,96011.551
778,0,1,2,16734.077,96010.604
779,0,1,2,16734.401,96009.658
780,0,1,2,16734.747,96008.72
781,0,1,2,16735.093,96007.782
782,0,1,2,16735.439,96006.844
783,0,1,2,16735.785,96005.906
784,0,1,2,16736.131,96004.968
785,0,1,2,16736.482,96004.032
786,0,1,2,16736.849,96003.102
787,0,1,2,16737.215,96002.172
788,0,1,2,16737.582,96001.241
789,0,1,2,16737.948,96000.311
790,0,1,2,16738.315,95999.381
791,0,1,2,16738.686,95998.453
792,0,1,2,16739.068,95997.529
793,0,1,2,16739.45,95996.605
794,0,1,2,16739.832,95995.681
795,0,1,2,16740.213,95994.757
796,0,1,2,16740.595,95993.833
797,0,1,2,16740.981,95992.911
798,0,1,2,16741.373,95991.991
799,0,1,2,16741.765,95991.071
800,0,1,2,16742.157,95990.151
801,0,1,2,16742.549,95989.232
802,0,1,2,16742.941,95988.312
803,0,1,2,16743.335,95987.393
804,0,1,2,16743.732,95986.475
805,0,1,2,16744.129,95985.558
806,0,1,2,16744.526,95984.64
807,0,1,2,16744.923,95983.723
808,0,1,2,16745.32,95982.805
809,0,1,2,16745.717,95981.888
810,0,1,2,16746.115,95980.97
811,0,1,2,16746.513,95980.053
812,0,1,2,16746.911,95979.136
813,0,1,2,16747.308,95978.219
814,0,1,2,16747.706,95977.302
815,0,1,2,16748.104,95976.384
816,0,1,2,16748.502,95975.467
