mm_id,tag_id,mm_kind,pole,x,y
254,0,1,2,16681.783,96276.344
255,0,1,2,16682.152,96274.379
256,0,1,2,16682.52,96272.414
257,0,1,2,16682.889,96270.449
258,0,1,2,16683.258,96268.483
259,0,1,2,16683.626,96266.518
260,0,1,2,16683.995,96264.553
261,0,1,2,16684.363,96262.587
262,0,1,2,16684.732,96260.622
263,0,1,2,16685.101,96258.657
264,0,1,2,16685.469,96256.691
265,0,1,2,16685.838,96254.726
266,0,1,2,16686.206,96252.761
267,0,1,2,16686.575,96250.796
268,0,1,2,16686.944,96248.83
269,0,1,2,16687.312,96246.865
270,0,1,2,16687.681,96244.9
271,0,1,2,16688.049,96242.934
272,0,1,2,16688.418,96240.969
273,0,1,2,16688.787,96239.004
274,0,1,2,16689.155,96237.039
275,0,1,2,16689.524,96235.073
276,0,1,2,16689.892,96233.108
277,0,1,2,16690.261,96231.143
278,0,1,2,16690.63,96229.177
279,0,1,2,16690.998,96227.212
280,0,1,2,16691.367,96225.247
281,0,1,2,16691.735,96223.281
282,0,1,2,16692.104,96221.316
283,0,1,2,16692.473,96219.351
284,0,1,2,16692.841,96217.386
285,0,1,2,16693.21,96215.42
286,0,1,2,16693.578,96213.455
287,0,1,2,16693.947,96211.49
288,0,1,2,16694.316,96209.524
289,0,1,2,16694.684,96207.559
290,0,1,2,16695.053,96205.594
291,0,1,2,16695.421,96203.629
292,0,1,2,16695.79,96201.663
293,0,1,2,16696.159,96199.698
294,0,1,2,16696.527,96197.733
295,0,1,2,16696.896,96195.767
296,0,1,2,16697.264,96193.802
297,0,1,2,16697.633,96191.837
298,0,1,2,16698.002,96189.872
299,0,1,2,16698.37,96187.906
300,0,1,2,16698.739,96185.941
301,0,1,2,16699.107,96183.976
302,0,1,2,16699.476,96182.01
303,0,1,2,16699.845,96180.045
304,0,1,2,16700.213,96178.08
305,0,1,2,16700.582,96176.114
306,0,1,2,16700.95,96174.149
307,0,1,2,16701.319,96172.184
308,0,1,2,16701.688,96170.219
309,0,1,2,16702.056,96168.253
310,0,1,2,16702.425,96166.288
311,0,1,2,16702.793,96164.323
312,0,1,2,16703.162,96162.357
313,0,1,2,16703.531,96160.392
314,0,1,2,16703.899,96158.427
315,0,1,2,16704.268,96156.462
316,0,1,2,16704.636,96154.496
317,0,1,2,16705.005,96152.531
318,0,1,2,16705.374,96150.566
319,0,1,2,16705.742,96148.6
320,0,1,2,16706.111,96146.635
321,0,1,2,16706.479,96144.67
322,0,1,2,16706.848,96142.705
323,0,1,2,16707.217,96140.739
324,0,1,2,16707.585,96138.774
325,0,1,2,16707.954,96136.809
326,0,1,2,16708.322,96134.843
327,0,1,2,16708.691,96132.878
328,0,1,2,16709.06,96130.913
329,0,1,2,16709.428,96128.948
330,0,1,2,16709.797,96126.982
331,0,1,2,16710.165,96125.017
332,0,1,2,16710.534,96123.052
333,0,1,2,16710.903,96121.086
334,0,1,2,16711.271,96119.121
335,0,1,2,16711.64,96117.156
336,0,1,2,16712.008,96115.19
337,0,1,2,16712.377,96113.225
338,0,1,2,16712.746,96111.26
339,0,1,2,16713.114,96109.295
340,0,1,2,16713.483,96107.329
341,0,1,2,16713.851,96105.364
342,0,1,2,16714.22,96103.399
343,0,1,2,16714.589,96101.433
344,0,1,2,16714.957,96099.468
345,0,1,2,16715.326,96097.503
346,0,1,2,16715.694,96095.538
347,0,1,2,16716.063,96093.572
348,0,1,2,16716.432,96091.607
